City,Predicted_covid-19 cases(1st October)
Panagar,2409
Uthiramerur,7328
Tirora,2249
Rangiya,2278
Sahjanwa,4783
Wara Seoni,2127
Magadi,2599
Rajgarh (Alwar),2654
Rafiganj,2559
Tarana,2407
Rampur Maniharan,2448
Sheoganj,2128
Raikot,2568
Sumerpur,2439
Navalgund,2571
Shahganj,1825
Marhaura,2382
Tulsipur,2219
Sadri,2513
Thiruthuraipoondi,3507
Shiggaon,2425
Pallapatti,2496
Mahendragarh,1953
Sausar,1921
Ponneri,2334
Mahad,2426
Lohardaga,2367
Aluva,2641
Tirwaganj,2094
Margherita,2333
Tehri,2027
Sundarnagar,2253
Rajgarh,2701
Mangaldoi,2101
Renigunta,2254
Longowal,2091
Ratia,2617
Lalgudi,2823
Shrirangapattana,2622
Niwari,2178
Natham,4607
Unnamalaikadai,2375
Purquazi,2669
"Shamsabad, Farrukhabad",2313
Mirganj,2657
Todaraisingh,2315
Chengannur,2706
Warhapur,2589
Rajam,2226
Urmar Tanda,2125
Lonar,2528
Powayan,2599
vasudevanallur,2892
Palampur,2131
P.N.Patti,3070
Srisailam (RFC) Township,2469
Sindagi,2497
Vaikom,2755
Sandi,2520
Malda,2513
Tharangambadi,2533
Sakaleshapura,2132
Malkangiri,2245
Rapar,2622
Mauganj,2366
Todabhim,2585
Srinivaspur,2299
Murliganj,2270
Reengus,1987
Sawantwadi,2398
Tittakudi,2287
Lilong,2212
Rajaldesar,2391
Pathardi,2538
Pacode,2305
Achhnera,2251
Naraura,2632
Nakur,2069
Palai,2854
"Morinda, India",2140
Manasa,2483
Nainpur,2552
Sahaspur,2380
Pauni,2543
Prithvipur,1739
Silapathar,2295
Ramtek,2251
Songadh,2355
Safipur,2295
Sohagpur,2289
Mul,2455
Sadulshahar,2126
Phillaur,2343
Sambhar,2751
Prantij,2163
Nagla,2056
Pattran,2570
Mount Abu,2795
Reoti,2644
Tenu dam-cum-Kathhara,2333
Panchla,1858
Pasighat,1765
Motipur,2700
O' Valley,2235
Raghunathpur,2124
Suriyampalayam,2487
Qadian,2644
Silvassa,2389
Nowrozabad (Khodargama),2606
Mangrol,2377
Soyagaon,7216
Sujanpur,2139
Manihari,2368
Sikanderpur,2117
Laksar,2091
Mangalvedhe,3472
Ron,2267
Phulera,2337
Sholavandan,2980
Saidpur,2388
Shamgarh,2488
Thammampatti,7168
Maharajpur,2331
Chamoli Gopeshwar,4097
Multai,1775
Mukerian,2414
Sirsi,1952
Purwa,2221
Sheohar,3347
Namagiripettai,2448
Parasi,2512
Lathi,2563
Lalganj,2345
Narkhed,7366
Mathabhanga,2559
Shendurjana,2519
Peravurani,2138
Mariani,2008
Phulpur,2634
Rania,2233
Pali,2098
Pachore,1792
Parangipettai,2176
Pudupattinam,2349
Panniyannur,2738
Maharajganj,1946
Rau,2335
Monoharpur,2178
Mandawa,2281
Marigaon,2020
Pallikonda,2379
Pindwara,2391
Shishgarh,2373
Charthaval,2103
Patur,2502
Mayang Imphal,2196
Mhowgaon,2368
Guruvayoor,2707
Mhaswad,2913
Sahawar,2649
Sivagiri,7216
Mundargi,2056
Punjaipugalur,2357
Kailasahar,2176
Samthar,2356
Sakti,2262
Silao,1886
Mandalgarh,2630
Loha,2288
"Srinagar, Uttarakhand",3386
Pukhrayan,2147
Padmanabhapuram,2388
Belonia,2049
Bhusawar,2400
Saiha,4392
Inkollu,2275
Srirampore,2260
Talwara,2610
Gadarpur,2328
Sarsawa,2688
Puthuppally,2565
Khowai,2677
Landhaura,2084
Tanakpur,2470
Uttarkashi,4208
Vijaypur,2139
Takhatgarh,2233
Joshimath,2219
Owk,2630
Khatima,1953
Thirupuvanam,2167
Adra,2259
Piriyapatna,2429
Obra,2253
Vikasnagar,2378
Amaravathi,2303
Khanda,2453
Mahua Kheraganj,2349
Talbehat,2285
Adalaj,2396
Nandgaon,2341
Bagha Kusmar,1659
Dineshpur,2279
Jhabrera,1934
Kela Khera,2042
Muni Ki Reti,2211
Chhapra,2147
Panamattom,2831
Gavaravaram,2658
Sultanpur,2098
Herbertpur,2638
Rudraprayag,2309
Niwai,2309
Bageshwar,2246
Gochar,2178
Doiwala,2451
Tarbha,2269
Karnaprayag,2300
Sanivarapupeta,2048
Lohaghat,2143
Bhimtal,2027
Lalkuan,2065
Kaladhungi,1959
Naura,2160
Mahua Dabra Haripura,2164
Chandpara,2653
Dharchula,2057
Adyar,2617
Narsinghgarh,2178
Barkot,2487
Didihat,2718
Satrampadu,2572
Warud,2145
Asarganj,2829
Bhowali,2424
Shaktigarh,2461
Narendranagar,2262
Champawat,2231
Sarsod,2172
Bhaiseena,2137
Dwarahat,2263
Badrinath,2601
Dogadda,2438
Devprayag,2730
Nandaprayag,2486
Kirtinagar,2539
Kedarnath,2287
Gangotri,2539
Kumarganj,2180
